1	Title: Đánh giá iPhone SE 2022: Khoan...	Title : Đánh giá iPhone SE 2022 : Khoan . . .
26	Với phần mềm AnTuTu Benchmark, lần chấm điểm đầu tiên khi mình mới sử dụng, máy đạt được 725,320 điểm.	Với phần mềm AnTuTu Benchmark , lần chấm điểm đầu tiên khi mình mới sử dụng , máy đạt được 725,320 điểm .
27	Với lần gần nhất mình chấm, điểm số có thay đổi một chút nhưng không đáng kể, 708,795 điểm.	Với lần gần nhất mình chấm , điểm số có thay đổi một chút nhưng không đáng kể , 708,795 điểm .
28	alt:	alt :
29	des:	des :
30	Geekbench 5 - một phần mềm chuyên đo hiệu suất vi xử lý, cụ thể ở đây là Apple A15 Biocnic, máy đạt được 1,731 điểm đơn nhân và 4,535 điểm số đa nhân.	Geekbench 5 - một phần mềm chuyên đo hiệu suất vi xử lý , cụ thể ở đây là Apple A15 Biocnic , máy đạt được 1,731 điểm đơn nhân và 4,535 điểm số đa nhân .
31	Hiệu suất đơn nhân của vi xử lý này trên iPhone SE 2022 thậm chí có phần nhỉnh hơn một chút so với vi xử lý Apple M1 trên iPad Pro (vi xử lý di động được xem là mạnh nhất hiện tại), tất nhiên điểm số đa nhân sẽ không bằng, nhưng cũng rất mạnh mẽ.	Hiệu suất đơn nhân của vi xử lý này trên iPhone SE 2022 thậm chí có phần nhỉnh hơn một chút so với vi xử lý Apple M1 trên iPad Pro ( vi xử lý di động được xem là mạnh nhất hiện tại ) , tất nhiên điểm số đa nhân sẽ không bằng , nhưng cũng rất mạnh mẽ .
32	alt:	alt :
33	des:	des :
34	iPhone SE 2022So sánh một chút với điểm số Geekbench của iPhone 13 mini, sự chênh lệch về hiệu năng của 2 chiếc máy này gần như không đáng kể, vì thế, trải nghiệm về sức hiệu suất gần như là giống nhau hoàn toàn.	iPhone SE 2022So sánh một chút với điểm số Geekbench của iPhone 13 mini , sự chênh lệch về hiệu năng của 2 chiếc máy này gần như không đáng kể , vì thế , trải nghiệm về sức hiệu suất gần như là giống nhau hoàn toàn .
35	Và tất nhiên, điểm số này cũng khiến iPhone SE 2022 bỏ xa mọi flagship Android.	Và tất nhiên , điểm số này cũng khiến iPhone SE 2022 bỏ xa mọi flagship Android .
36	alt: IMG_3698	alt : IMG _ 3698
37	des:	des :
38	alt: IMG_3699	alt : IMG _ 3699
39	des:	des :
40	alt: IMG_3700	alt : IMG _ 3700
41	des:	des :
42	Trong những trải nghiệm hàng ngày và kể cả khi chơi game thì iPhone SE 2022 cũng xử lý rất nhẹ nhàng nên không cần phải nói nhiều về các tác vụ này.	Trong những trải nghiệm hàng ngày và kể cả khi chơi game thì iPhone SE 2022 cũng xử lý rất nhẹ nhàng nên không cần phải nói nhiều về các tác vụ này .
43	Tuy nhiên việc cày game trên chiếc máy này thì mình không thực sự khuyến khích bởi màn hình máy nhỏ nên thao tác không mượt lắm và pin máy cũng tụt khá nhanh khi chơi game.	Tuy nhiên việc cày game trên chiếc máy này thì mình không thực sự khuyến khích bởi màn hình máy nhỏ nên thao tác không mượt lắm và pin máy cũng tụt khá nhanh khi chơi game .
44	alt: iPhone SE 2022	alt : iPhone SE 2022
45	des:	des :
46	Như hình trên mình có chơi tựa game PUBG Mobile, với hiệu năng của máy và những điểm số mà máy đạt được, thực sự chả có tựa game nào có thể làm khó được chiếc máy này.	Như hình trên mình có chơi tựa game PUBG Mobile , với hiệu năng của máy và những điểm số mà máy đạt được , thực sự chả có tựa game nào có thể làm khó được chiếc máy này .
47	Máy xử lý vô cùng mượt mà, nhanh chóng và hiện tượng giật, lag gần như không có trong suốt quá trình chơi.	Máy xử lý vô cùng mượt mà , nhanh chóng và hiện tượng giật , lag gần như không có trong suốt quá trình chơi .
48	Tuy nhiên, để điều khiển và chạm đúng các thao tác trên chiếc máy này thực sự không dễ dàng.	Tuy nhiên , để điều khiển và chạm đúng các thao tác trên chiếc máy này thực sự không dễ dàng .
49	Nếu để chơi giải trí thì được nhưng để try-hard hay cày rank thì mình không khuyến khích các bạn chơi trên iPhone SE 2022	Nếu để chơi giải trí thì được nhưng để try-hard hay cày rank thì mình không khuyến khích các bạn chơi trên iPhone SE 2022
50	Camera	Camera
51	iPhone SE 2022 chỉ có 1 camera sau 12MP và camera selfie 7MP.	iPhone SE 2022 chỉ có 1 camera sau 12MP và camera selfie 7MP .
52	Vậy có đủ để dùng hay không?	Vậy có đủ để dùng hay không ?
53	Câu trả lời là còn tuỳ thuộc vào nhu cầu của bạn, với cá nhân mình thì là đủ, vì 80% nhu cầu quay chụp của mình là ở camera chính.	Câu trả lời là còn tuỳ thuộc vào nhu cầu của bạn , với cá nhân mình thì là đủ , vì 80% nhu cầu quay chụp của mình là ở camera chính .
54	Nhưng nếu có đòi hỏi thêm thì cũng rất khó bởi Apple “tận dụng dây chuyền sản xuất” nên khó lòng có chuyện xuất hiện thiết kế đột phát ở camera lắm.	Nhưng nếu có đòi hỏi thêm thì cũng rất khó bởi Apple “ tận dụng dây chuyền sản xuất ” nên khó lòng có chuyện xuất hiện thiết kế đột phát ở camera lắm .
55	alt: iPhone SE 2022	alt : iPhone SE 2022
56	des:	des :
57	Bên cạnh đó, máy cũng có các tính năng mới như Smart HDR, Deep Fusion, chân dung nhưng sẽ không có Night Mode, đây là một điều khá đáng tiếc.	Bên cạnh đó , máy cũng có các tính năng mới như Smart HDR , Deep Fusion , chân dung nhưng sẽ không có Night Mode , đây là một điều khá đáng tiếc .
58	Chất lượng ảnh chụp từ camera chính của máy là rất tốt, trong điều kiện ánh sáng ban ngày, ảnh cho ra có chất lượng cao, màu sắc khá trung thực, không bị đẩy gắt như những chiếc máy khác sử dụng "thuật toán AI".	Chất lượng ảnh chụp từ camera chính của máy là rất tốt , trong điều kiện ánh sáng ban ngày , ảnh cho ra có chất lượng cao , màu sắc khá trung thực , không bị đẩy gắt như những chiếc máy khác sử dụng " thuật toán AI " .
59	alt:	alt :
60	des:	des :
61	alt:	alt :
62	des:	des :
63	alt: IMG_0194	alt : IMG _ 0194
64	des:	des :
65	alt: IMG_0196	alt : IMG _ 0196
66	des:	des :
67	alt: IMG_0201	alt : IMG _ 0201
68	des:	des :
69	alt: IMG_0206	alt : IMG _ 0206
70	des:	des :
71	alt: IMG_0193	alt : IMG _ 0193
72	des:	des :
73	alt: IMG_0205	alt : IMG _ 0205
74	des:	des :
75	iPhone SE 2022 không có camera zoom nên chất lượng ảnh khi bị phóng đại không thực sự tốt.	iPhone SE 2022 không có camera zoom nên chất lượng ảnh khi bị phóng đại không thực sự tốt .
76	Nếu như trên màn hình iPhone SE 2022 nhỏ nên khi zoom bạn sẽ cảm thấy máy vẫn giữ chi tiết tốt, nhưng thực tế khi mở trên một màn hình lớn hơn thì ảnh bị bệt và mất đi chi tiết khá nhiều.	Nếu như trên màn hình iPhone SE 2022 nhỏ nên khi zoom bạn sẽ cảm thấy máy vẫn giữ chi tiết tốt , nhưng thực tế khi mở trên một màn hình lớn hơn thì ảnh bị bệt và mất đi chi tiết khá nhiều .
77	alt:	alt :
78	des:	des :
79	alt:	alt :
80	des: Ảnh zoom từ ống kính iPhone SE 2022	des : Ảnh zoom từ ống kính iPhone SE 2022
81	Chiếc máy này không có tính năng chụp đêm, một điều khá buồn.	Chiếc máy này không có tính năng chụp đêm , một điều khá buồn .
82	Máy xử lý trong điều kiện buổi tối vẫn khá tốt, nhưng đây chỉ là khi có ánh đèn và môi trường ánh sáng hơi yếu còn nếu như trong điều kiện không có nguồn sáng thì ảnh tối một cách rất "trung thực".	Máy xử lý trong điều kiện buổi tối vẫn khá tốt , nhưng đây chỉ là khi có ánh đèn và môi trường ánh sáng hơi yếu còn nếu như trong điều kiện không có nguồn sáng thì ảnh tối một cách rất " trung thực " .
83	alt:	alt :
84	des:	des :
85	alt: IMG_0215	alt : IMG _ 0215
86	des:	des :
87	alt: IMG_0209	alt : IMG _ 0209
88	des:	des :
89	alt: IMG_0164	alt : IMG _ 0164
90	des:	des :
91	alt: IMG_0163	alt : IMG _ 0163
92	des:	des :
93	alt:	alt :
94	des: Trong điều kiện ánh sáng yếu, iPhone SE 2022 gần như không thể lấy lại được chi tiết vùng tối	des : Trong điều kiện ánh sáng yếu , iPhone SE 2022 gần như không thể lấy lại được chi tiết vùng tối
95	Về khả năng quay video, đây là điều mình ưng ý nhất kể cả trên iPhone SE 2022 và những chiếc iPhone khác.	Về khả năng quay video , đây là điều mình ưng ý nhất kể cả trên iPhone SE 2022 và những chiếc iPhone khác .
96	Chất lượng quay phải nói là quá tốt, kể cả trong điều kiện ban ngày hay ban đêm.	Chất lượng quay phải nói là quá tốt , kể cả trong điều kiện ban ngày hay ban đêm .
97	Mình sử dụng camera của máy để quay trực tiếp, không sử dụng gimbal và đi bộ như thông thường nên khá rung và lắc nhưng máy xử lý vẫn rất tốt.	Mình sử dụng camera của máy để quay trực tiếp , không sử dụng gimbal và đi bộ như thông thường nên khá rung và lắc nhưng máy xử lý vẫn rất tốt .
98	Mời bạn tham khảo video dưới đây, mình quay ở chế độ FullHD, 30fps.	Mời bạn tham khảo video dưới đây , mình quay ở chế độ FullHD , 30fps .
99	Thời lượng pin	Thời lượng pin
100	iPhone SE 2022 chỉ được trang bị viên pin 2,018 mAh, phù hợp với ngoại hình của máy.	iPhone SE 2022 chỉ được trang bị viên pin 2,018 mAh , phù hợp với ngoại hình của máy .
101	Về thời lượng pin của chiếc máy này, mình đã có 1 bài đánh giá chi tiết, mời bạn tham khảo tại đây.	Về thời lượng pin của chiếc máy này , mình đã có 1 bài đánh giá chi tiết , mời bạn tham khảo tại đây .
102	Nhìn chung, với các tác vụ thường ngày sử dụng và nếu không chơi hoặc ít chơi game thì máy vẫn đáp ứng khá tốt một ngày sử dụng từ sáng đến tối.	Nhìn chung , với các tác vụ thường ngày sử dụng và nếu không chơi hoặc ít chơi game thì máy vẫn đáp ứng khá tốt một ngày sử dụng từ sáng đến tối .
103	Thời lượng on-screen trung bình trong 1 ngày khoảng từ 4-5 tiếng với các tác vụ hỗn hợp và sử dụng cả kết nối Wi-Fi lẫn 4G.	Thời lượng on-screen trung bình trong 1 ngày khoảng từ 4 - 5 tiếng với các tác vụ hỗn hợp và sử dụng cả kết nối Wi-Fi lẫn 4G .
104	Apple hướng mục tiêu cho iPhone SE 2022 đến với những người dùng mới, những người yêu thích sự nhỏ gọn, tiện dụng, đơn giản và ít nhu cầu hơn nên thời lượng pin như này là vừa đủ để dùng.	Apple hướng mục tiêu cho iPhone SE 2022 đến với những người dùng mới , những người yêu thích sự nhỏ gọn , tiện dụng , đơn giản và ít nhu cầu hơn nên thời lượng pin như này là vừa đủ để dùng .
105	alt: iPhone SE 2022	alt : iPhone SE 2022
106	des:	des :
107	Khả năng sạc pin của iPhone SE 2022 thì cũng khá giống với những thiết bị khác của Apple, không có gì cải thiện nhiều.	Khả năng sạc pin của iPhone SE 2022 thì cũng khá giống với những thiết bị khác của Apple , không có gì cải thiện nhiều .
108	Sạc 50% pin trong thời gian chỉ khoảng 30 phút nhưng để sạc đầy 100% pin thì cũng mất đến 1 tiếng 30 phút.	Sạc 50% pin trong thời gian chỉ khoảng 30 phút nhưng để sạc đầy 100% pin thì cũng mất đến 1 tiếng 30 phút .
109	Kết luận	Kết luận
110	iPhone SE 2022 là một chiếc máy vẫn tồn tại một nhược điểm khá chí mạng, đó là thiết kế cũ rích.	iPhone SE 2022 là một chiếc máy vẫn tồn tại một nhược điểm khá chí mạng , đó là thiết kế cũ rích .
111	Thế nhưng ngoài điểm này ra thì Apple đã cải thiện cho chiếc máy này khá nhiều điểm, vẫn là một hiệu năng mạnh mẽ ấn tượng, camera dù chỉ 1 ống kính nhưng vẫn đáp ứng đủ các nhu cầu sử dụng hàng ngày của bạn và một thời lượng pin đủ để phục vụ bạn sử dụng.	Thế nhưng ngoài điểm này ra thì Apple đã cải thiện cho chiếc máy này khá nhiều điểm , vẫn là một hiệu năng mạnh mẽ ấn tượng , camera dù chỉ 1 ống kính nhưng vẫn đáp ứng đủ các nhu cầu sử dụng hàng ngày của bạn và một thời lượng pin đủ để phục vụ bạn sử dụng .
112	alt: iPhone SE 2022	alt : iPhone SE 2022
113	des:	des :
114	Có thể sẽ có người nói rằng tầm giá của iPhone SE 2022 sẽ có nhiều lựa chọn khác ngon hơn nhưng mục đích sản xuất chiếc iPhone SE 2022 không phải để đối chọi trực tiếp với những đối thủ đó.	Có thể sẽ có người nói rằng tầm giá của iPhone SE 2022 sẽ có nhiều lựa chọn khác ngon hơn nhưng mục đích sản xuất chiếc iPhone SE 2022 không phải để đối chọi trực tiếp với những đối thủ đó .
115	Việc đó đã có iPhone 13, 13 mini và những chiếc iPhone khác lo.	Việc đó đã có iPhone 13 , 13 mini và những chiếc iPhone khác lo .
116	iPhone SE 2022 được sinh ra là để hướng tới những đối tượng người dùng đặc biệt hơn, cụ thể ở đây là yêu thích sự nhỏ gọn, tiện lợi, đơn giản và không yêu cầu quá cao, giống như những gì mà iPhone SE thế hệ cũ hướng tới.	iPhone SE 2022 được sinh ra là để hướng tới những đối tượng người dùng đặc biệt hơn , cụ thể ở đây là yêu thích sự nhỏ gọn , tiện lợi , đơn giản và không yêu cầu quá cao , giống như những gì mà iPhone SE thế hệ cũ hướng tới .
{"subject": ["24-31&&những", "24-32&&chiếc", "24-33&&máy", "24-34&&Android"], "object": ["24-13&&iPhone", "24-14&&SE", "24-15&&2022"], "aspect": ["24-19&&sự", "24-20&&mượt", "24-21&&mà"], "predicate": ["24-35&&khó", "24-36&&lòng", "24-37&&sánh", "24-38&&được"], "label": "COM-"}
{"subject": ["31-6&&vi", "31-7&&xử", "31-8&&lý", "31-9&&này", "31-10&&trên", "31-11&&iPhone", "31-12&&SE", "31-13&&2022"], "object": ["31-24&&vi", "31-25&&xử", "31-26&&lý", "31-27&&Apple", "31-28&&M1", "31-29&&trên", "31-30&&iPad", "31-31&&Pro"], "aspect": ["31-1&&Hiệu", "31-2&&suất", "31-3&&đơn", "31-4&&nhân"], "predicate": ["31-18&&nhỉnh", "31-19&&hơn", "31-20&&một", "31-21&&chút"], "label": "COM+"}
{"subject": ["31-24&&vi", "31-25&&xử", "31-26&&lý", "31-27&&Apple", "31-28&&M1", "31-29&&trên", "31-30&&iPad", "31-31&&Pro"], "object": [], "aspect": [], "predicate": ["31-41&&mạnh", "31-42&&nhất", "31-43&&hiện", "31-44&&tại"], "label": "SUP+"}
{"subject": ["31-6&&vi", "31-7&&xử", "31-8&&lý", "31-9&&này", "31-10&&trên", "31-11&&iPhone", "31-12&&SE", "31-13&&2022"], "object": ["31-24&&vi", "31-25&&xử", "31-26&&lý", "31-27&&Apple", "31-28&&M1", "31-29&&trên", "31-30&&iPad", "31-31&&Pro"], "aspect": ["31-49&&điểm", "31-50&&số", "31-51&&đa", "31-52&&nhân"], "predicate": ["31-54&&không", "31-55&&bằng"], "label": "COM-"}
{"subject": ["34-23&&2", "34-24&&chiếc", "34-25&&máy", "34-26&&này"], "object": ["34-23&&2", "34-24&&chiếc", "34-25&&máy", "34-26&&này"], "aspect": ["34-16&&sự", "34-17&&chênh", "34-18&&lệch", "34-19&&về", "34-20&&hiệu", "34-21&&năng"], "predicate": ["34-27&&gần", "34-28&&như", "34-29&&không", "34-30&&đáng", "34-31&&kể"], "label": "EQL"}
{"subject": ["34-23&&2", "34-24&&chiếc", "34-25&&máy", "34-26&&này"], "object": ["34-23&&2", "34-24&&chiếc", "34-25&&máy", "34-26&&này"], "aspect": ["34-40&&hiệu", "34-41&&suất"], "predicate": ["34-42&&gần", "34-43&&như", "34-44&&là", "34-45&&giống", "34-46&&nhau", "34-47&&hoàn", "34-48&&toàn"], "label": "EQL"}
{"subject": ["35-10&&iPhone", "35-11&&SE", "35-12&&2022"], "object": ["35-15&&mọi", "35-16&&flagship", "35-17&&Android"], "aspect": ["35-5&&điểm", "35-6&&số", "35-7&&này"], "predicate": ["35-13&&bỏ", "35-14&&xa"], "label": "COM+"}
{"subject": ["58-9&&máy"], "object": ["58-41&&những", "58-42&&chiếc", "58-43&&máy", "58-44&&khác", "58-45&&sử", "58-46&&dụng", "58-47&&\"", "58-48&&thuật", "58-49&&toán", "58-50&&AI", "58-51&&\""], "aspect": ["58-1&&Chất", "58-2&&lượng", "58-3&&ảnh"], "predicate": ["58-36&&không", "58-37&&bị", "58-38&&đẩy", "58-39&&gắt"], "label": "COM+"}
{"subject": ["107-6&&iPhone", "107-7&&SE", "107-8&&2022"], "object": ["107-14&&những", "107-15&&thiết", "107-16&&bị", "107-17&&khác", "107-18&&của", "107-19&&Apple"], "aspect": ["107-1&&Khả", "107-2&&năng", "107-3&&sạc", "107-4&&pin"], "predicate": ["107-10&&cũng", "107-11&&khá", "107-12&&giống"], "label": "EQL"}
